iter	Passed	Remaining
445	1124	1396
446	1125	1392
447	1126	1388
448	1128	1384
449	1129	1380
450	1131	1377
451	1133	1374
452	1134	1370
453	1136	1367
454	1138	1363
455	1139	1359
456	1141	1356
457	1143	1352
458	1144	1348
459	1146	1345
460	1148	1342
461	1150	1339
462	1151	1335
463	1152	1331
464	1154	1327
465	1155	1324
466	1156	1320
467	1158	1316
468	1159	1312
469	1161	1310
470	1164	1307
471	1165	1303
472	1166	1300
473	1168	1296
474	1169	1292
475	1170	1288
476	1171	1284
477	1173	1281
478	1174	1277
479	1176	1275
480	1178	1272
481	1180	1268
482	1181	1264
483	1182	1260
484	1184	1257
485	1185	1254
486	1187	1250
487	1188	1246
488	1189	1243
489	1192	1241
490	1194	1237
491	1195	1234
492	1196	1230
493	1198	1227
494	1199	1223
495	1200	1220
496	1202	1216
497	1204	1213
498	1206	1211
499	1208	1208
500	1209	1204
501	1210	1201
502	1212	1197
503	1213	1194
504	1215	1190
505	1216	1187
506	1217	1183
507	1218	1180
508	1220	1177
509	1221	1173
510	1223	1170
511	1224	1167
512	1226	1164
513	1227	1160
514	1228	1157
515	1229	1153
516	1231	1150
517	1232	1147
518	1234	1144
519	1236	1141
520	1238	1138
521	1240	1135
522	1241	1132
523	1242	1129
524	1244	1125
525	1245	1122
526	1247	1119
527	1249	1117
528	1252	1115
529	1254	1112
530	1256	1109
531	1257	1106
532	1259	1103
533	1261	1100
534	1262	1097
535	1263	1094
536	1265	1090
537	1267	1088
538	1268	1085
539	1270	1081
540	1271	1078
541	1272	1075
542	1274	1072
543	1275	1069
544	1277	1066
545	1278	1063
546	1279	1059
547	1283	1058
548	1284	1055
549	1285	1052
550	1287	1049
551	1289	1046
552	1290	1043
553	1291	1040
554	1293	1037
555	1294	1033
556	1296	1031
557	1298	1028
558	1299	1025
559	1300	1022
560	1302	1019
561	1304	1016
562	1305	1013
563	1306	1010
564	1308	1007
565	1309	1004
566	1311	1001
567	1313	998
568	1314	995
569	1315	992
570	1317	989
571	1318	986
572	1319	983
573	1321	980
574	1322	977
575	1323	974
576	1325	971
577	1327	968
578	1328	966
579	1330	963
580	1332	960
581	1333	957
582	1334	954
583	1336	951
584	1337	948
585	1338	945
586	1341	943
587	1343	941
588	1344	938
589	1345	935
590	1347	932
591	1348	929
592	1350	926
593	1351	923
594	1352	920
595	1354	918
596	1356	915
597	1358	912
598	1359	910
599	1360	907
600	1361	904
601	1363	901
602	1364	898
603	1365	895
604	1366	892
605	1368	889
606	1370	887
607	1372	884
608	1373	882
609	1375	879
610	1376	876
611	1377	873
612	1379	870
613	1380	868
614	1381	865
615	1383	862
616	1385	860
617	1387	857
618	1388	854
619	1390	852
620	1391	849
621	1392	846
622	1394	843
623	1395	840
624	1396	838
625	1398	835
626	1401	833
627	1402	830
628	1404	828
629	1405	825
630	1406	822
631	1408	819
632	1409	817
633	1410	814
634	1412	811
635	1413	808
636	1415	806
637	1417	804
638	1418	801
639	1420	798
640	1421	796
641	1423	793
642	1424	790
643	1425	788
644	1427	785
645	1429	783
646	1432	781
647	1433	778
648	1435	776
649	1436	773
650	1438	771
651	1439	768
652	1441	766
653	1443	763
654	1448	762
655	1449	760
656	1451	757
657	1452	755
658	1454	752
659	1456	750
660	1457	747
661	1459	745
662	1461	743
663	1463	740
664	1464	738
665	1466	735
666	1467	732
667	1469	730
668	1470	727
669	1471	724
670	1472	722
671	1474	719
672	1475	716
673	1477	714
674	1478	711
675	1479	709
676	1480	706
677	1482	703
678	1483	701
679	1484	698
680	1485	696
681	1487	693
682	1488	690
683	1490	688
684	1491	686
685	1493	683
686	1494	680
687	1495	678
688	1497	675
689	1498	673
690	1499	670
691	1500	667
692	1501	665
693	1503	662
694	1505	660
695	1507	658
696	1508	655
697	1509	653
698	1511	650
699	1512	648
700	1514	645
701	1515	643
702	1516	640
703	1517	638
704	1519	635
705	1520	633
706	1522	630
707	1523	628
708	1524	625
709	1526	623
710	1527	620
711	1528	618
712	1529	615
713	1531	613
714	1532	610
715	1533	608
716	1535	606
717	1537	603
718	1538	601
719	1540	598
720	1541	596
721	1542	593
722	1543	591
723	1544	588
724	1546	586
725	1547	583
726	1548	581
727	1550	579
728	1552	577
729	1553	574
730	1554	572
731	1556	569
732	1557	567
733	1558	564
734	1559	562
735	1560	559
736	1562	557
737	1563	555
738	1565	552
739	1566	550
740	1567	547
741	1568	545
742	1570	543
743	1571	540
744	1572	538
745	1574	535
746	1575	533
747	1576	531
748	1577	528
749	1579	526
750	1581	524
751	1582	521
752	1583	519
753	1584	517
754	1586	514
755	1587	512
756	1588	509
757	1589	507
758	1590	505
759	1592	502
760	1593	500
761	1595	498
762	1597	496
763	1598	493
764	1599	491
765	1600	488
766	1601	486
767	1603	484
768	1604	481
769	1605	479
770	1606	477
771	1609	475
772	1610	473
773	1612	470
774	1613	468
775	1614	466
776	1615	463
777	1617	461
778	1618	459
779	1619	456
780	1620	454
781	1622	452
782	1624	450
783	1625	447
784	1627	445
785	1628	443
786	1629	441
787	1630	438
788	1632	436
789	1633	434
790	1634	431
791	1635	429
792	1637	427
793	1638	425
794	1640	423
795	1642	420
796	1643	418
797	1644	416
798	1645	414
799	1647	411
800	1648	409
801	1649	407
802	1650	405
803	1652	402
804	1653	400
805	1655	398
806	1656	396
807	1657	393
808	1658	391
809	1660	389
810	1661	387
811	1662	384
812	1663	382
813	1665	380
814	1666	378
815	1667	376
816	1669	373
817	1671	371
818	1672	369
819	1673	367
820	1674	365
821	1676	362
822	1677	360
823	1678	358
824	1680	356
825	1681	354
826	1682	351
827	1684	349
828	1686	347
829	1687	345
830	1688	343
831	1690	341
832	1691	339
833	1692	336
834	1693	334
835	1694	332
836	1696	330
837	1697	328
838	1699	326
839	1700	323
840	1702	321
841	1703	319
842	1704	317
843	1705	315
844	1707	313
845	1708	310
846	1709	308
847	1710	306
848	1712	304
849	1713	302
850	1715	300
851	1716	298
852	1718	296
853	1719	293
854	1720	291
855	1721	289
856	1723	287
857	1724	285
858	1725	283
859	1726	281
860	1728	279
861	1730	277
862	1731	274
863	1732	272
864	1734	270
865	1735	268
866	1736	266
867	1737	264
868	1739	262
869	1740	260
870	1741	257
871	1743	255
872	1744	253
873	1746	251
874	1747	249
875	1748	247
876	1749	245
877	1751	243
878	1752	241
879	1753	239
880	1754	237
881	1755	234
882	1757	232
883	1758	230
884	1760	228
885	1761	226
886	1762	224
887	1764	222
888	1765	220
889	1766	218
890	1767	216
891	1769	214
892	1770	212
893	1771	210
894	1773	208
895	1775	206
896	1776	203
897	1777	201
898	1778	199
899	1780	197
900	1781	195
901	1782	193
902	1783	191
903	1785	189
904	1786	187
905	1788	185
906	1789	183
907	1791	181
908	1792	179
909	1793	177
910	1795	175
911	1796	173
912	1797	171
913	1798	169
914	1799	167
915	1801	165
916	1802	163
917	1804	161
918	1806	159
919	1807	157
920	1808	155
921	1809	153
922	1810	151
923	1812	149
924	1813	147
925	1814	145
926	1816	143
927	1817	141
928	1819	139
929	1820	137
930	1822	135
931	1823	133
932	1824	131
933	1825	129
934	1827	127
935	1828	125
936	1829	123
937	1831	121
938	1832	119
939	1834	117
940	1835	115
941	1836	113
942	1837	111
943	1839	109
944	1840	107
945	1841	105
946	1842	103
947	1844	101
948	1845	99
949	1846	97
950	1848	95
951	1850	93
952	1851	91
953	1852	89
954	1853	87
955	1855	85
956	1856	83
957	1857	81
958	1858	79
959	1860	77
960	1861	75
961	1863	73
962	1864	71
963	1866	69
964	1867	67
965	1868	65
966	1869	63
967	1871	61
968	1872	59
969	1873	57
970	1875	55
971	1876	54
972	1878	52
973	1879	50
974	1880	48
975	1882	46
976	1883	44
977	1884	42
978	1886	40
979	1887	38
980	1888	36
981	1889	34
982	1890	32
983	1892	30
984	1894	28
985	1895	26
986	1897	24
987	1898	23
988	1899	21
989	1900	19
990	1901	17
991	1903	15
992	1904	13
993	1905	11
994	1906	9
995	1909	7
996	1910	5
997	1911	3
998	1913	1
999	1914	0
